deck_id;n_slides ;startup_name;customer_segments;value_proposition;channels;customer_relationships;revenue_model;key_resources;key_activities;key_partners;cost_structure;;;;;;;;;;;;;
1;12;Palta;Consumers via apps (health/wellbeing);AI-based health/wellbeing ecosystem (Flo etc.);Mobile apps;;$114M ARR subscriptions;AI platform, apps, 550 team;App dev, AI personalization;;;;;;;;;;;;;;;
2;18;Aura;Families/individuals;Unified digital safety platform (identity, devices, privacy);;;Subscription (implied);AI safety tech;Monitoring, alerts;;;;;;;;;;;;;;;
3;13;Bespoken_spirits;Distillers, rectifiers, breweries, retailers/grocery/bars;Rapid customizable sustainable spirits via ACTivation tech (MaaS/CaaS);;;Brand sales + MaaS + CaaS;ACTivation tech, facility, data;Spirit design/tailoring/production;;;;;;;;;;;;;;;
4;23;Jobox;Skilled field pros (home services);Free job matching + workflow/fintech tools + managed marketplace;Mobile app/marketplace;;Marketplace transaction fees;Platform, pros network;Job matching, workflow mgmt;Lead gens, lenders;;;;;;;;;;;;;;
5;11;Macro;Knowledge workers/professional services;Productivity suite upgrading email/docs/PDFs with chat/sync;;;SaaS subscriptions;Software platform;Integration, features;;;;;;;;;;;;;;;
6;11;Sable;New-to-US internationals;Digital banking (checking/credit) with fast onboarding;App;;Banking fees/revenue share;Compliance team, tech;Onboarding, lending;Regulators, partners;Compliance, tech, risk;;;;;;;;;;;;;
7;11;Sharpist;Enterprises (DACH, talent dev);One-on-one digital coaching + learning ecosystem;Platform sales;;SaaS subscriptions;Platform, coaches, AI matching;Coaching, analytics;Coaches, HR;;;;;;;;;;;;;;
8;15;Vision;Businesses (eComm, fintech);AI-powered messaging marketing platform (WhatsApp etc.);Cloud platform;2-way thread mgmt;Subscription + usage;AI infrastructure, integrations;Messaging automation, personalization;Messaging APIs;;;;;;;;;;;;;;
9;12;Morty;Consumers (purchase loans), lenders;Digital mortgage marketplace with autonomous tech;Digital platform;;Platform/lender fees;Tech platform, lender network;Underwriting, matching, API;Lenders;;;;;;;;;;;;;;
10;11;Multus;Cultivated meat producers;Growth media/nutrients for affordable scalable cultivated meat;B2B sales;;Media sales (implied);Tech/IP, team from Imperial;R&D cell growth media;Suppliers, research;R&D, scaling production;;;;;;;;;;;;;