deck_id;startup_name;field;you;jonas;max;;;;agree_3;n_ones;n_zeros;row_agree;P_i;;;;
1;Palta;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
1;Palta;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
1;Palta;channels;1;1;1;;;;1;3;0;1,000000000;1,000000000;;P_o;0,903703704;0,903703704
1;Palta;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;p1;0,681481481;0,681481481
1;Palta;revenue_model;1;1;1;;;;1;3;0;1,000000000;1,000000000;;p0;0,318518519;0,318518519
1;Palta;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;P_e;0,565871056;0,565871056
1;Palta;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;Fleiss_kappa;0,778185035;0,778185035
1;Palta;key_partners;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
1;Palta;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
2;Aura;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;channels;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
2;Aura;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
2;Aura;revenue_model;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;key_partners;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
2;Aura;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
3;Bespoken_spirits;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;channels;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
3;Bespoken_spirits;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
3;Bespoken_spirits;revenue_model;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;key_partners;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
3;Bespoken_spirits;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
4;Jobox;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
4;Jobox;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
4;Jobox;channels;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
4;Jobox;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
4;Jobox;revenue_model;0;0;1;;;;0;1;2;0,666666667;0,333333333;;;;
4;Jobox;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
4;Jobox;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
4;Jobox;key_partners;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
4;Jobox;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
5;Macro;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
5;Macro;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
5;Macro;channels;1;0;0;;;;0;1;2;0,666666667;0,333333333;;;;
5;Macro;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
5;Macro;revenue_model;0;0;1;;;;0;1;2;0,666666667;0,333333333;;;;
5;Macro;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
5;Macro;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
5;Macro;key_partners;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
5;Macro;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
6;Sable;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
6;Sable;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
6;Sable;channels;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
6;Sable;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
6;Sable;revenue_model;0;0;1;;;;0;1;2;0,666666667;0,333333333;;;;
6;Sable;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
6;Sable;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
6;Sable;key_partners;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
6;Sable;cost_structure;0;0;1;;;;0;1;2;0,666666667;0,333333333;;;;
7;Sharpist;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
7;Sharpist;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
7;Sharpist;channels;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
7;Sharpist;customer_relationships;0;1;0;;;;0;1;2;0,666666667;0,333333333;;;;
7;Sharpist;revenue_model;0;1;1;;;;0;2;1;0,666666667;0,333333333;;;;
7;Sharpist;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
7;Sharpist;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
7;Sharpist;key_partners;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
7;Sharpist;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
8;Vision;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
8;Vision;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
8;Vision;channels;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
8;Vision;customer_relationships;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
8;Vision;revenue_model;1;0;1;;;;0;2;1;0,666666667;0,333333333;;;;
8;Vision;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
8;Vision;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
8;Vision;key_partners;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
8;Vision;cost_structure;1;0;0;;;;0;1;2;0,666666667;0,333333333;;;;
9;morty;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
9;morty;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
9;morty;channels;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
9;morty;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
9;morty;revenue_model;0;0;1;;;;0;1;2;0,666666667;0,333333333;;;;
9;morty;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
9;morty;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
9;morty;key_partners;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
9;morty;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
10;multus;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
10;multus;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
10;multus;channels;1;0;1;;;;0;2;1;0,666666667;0,333333333;;;;
10;multus;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
10;multus;revenue_model;0;0;1;;;;0;1;2;0,666666667;0,333333333;;;;
10;multus;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
10;multus;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
10;multus;key_partners;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
10;multus;cost_structure;0;0;1;;;;0;1;2;0,666666667;0,333333333;;;;
