target_deck_id,candidates_discovered,peers_scored,top5_strong_peers,top5_mean_rank_score,uniqueness_label,vc_note
8base,15,2,1,0.447,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Zenithinnovations, Outsystems."
AI Rudder,15,5,4,0.489,crowded,"Several strong peers (4 in top-5); space looks competitive — benchmark vs Salestack, Bolna, Aisuperior."
Ageras,15,5,5,0.577,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Single Market Economy, Businessblogofsg, Inc91."
Audience Town,15,4,3,0.535,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Speedeondata, Marketingtechginsights, Eltoro."
Aura,15,6,3,0.439,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Canopy, Startup, Cybersecuritynews."
Belgian Boys,15,9,3,0.514,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Chefstandards, Insights, Thehalogroup."
Bespoken_spirits,15,10,5,0.562,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Alexanderjarvis, Chilledmagazine, Cbrands."
Bigblue,15,6,5,0.582,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Shipbob, Tradly, Youngurbanproject."
Blueocean,15,6,3,0.466,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Competition, Altitudemarketing, Sendigital."
Bower,15,10,5,0.56,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Scandinavianmind, En, Climatechlist."
Calaxy,15,5,1,0.406,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Panxora, Spearmint, Thedatascientist."
Circular,15,8,4,0.51,crowded,"Several strong peers (4 in top-5); space looks competitive — benchmark vs Texspacetoday, Knowingfabric, Climatesort."
Cowboy,15,8,5,0.596,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Velomag, Electricbikeexplorer, Geeky Gadgets."
EQL,15,3,1,0.485,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Humanwomanity, Renegademarketing, Apps."
Experify,13,4,1,0.414,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Life Longlearner, Moz, Winsavvy."
Fluence,15,7,5,0.557,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Integration Communications, Talkspace, Betterhelp."
HTEC,15,4,0,0.399,unique,"No strong startup peers in top-5 (0 above similarity threshold); idea may be relatively new or niche. Weak matches: Hfsresearch, Udaan, Horsesforsources."
Hello Heart,15,8,5,0.558,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Thehcdata, Blog, Dacadoo."
IMMO,15,7,2,0.393,moderate,"Some comparable startups found (2 strong in top-5); competitive but not saturated. Top: Siliconcanals, Nearlymen, Europaproperty."
Ibble,15,8,5,0.504,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Startbotnet, Dokumen, Marketinglad."
Influx,15,5,0,0.295,unique,"No strong startup peers in top-5 (0 above similarity threshold); idea may be relatively new or niche. Weak matches: Startupsearch, Bestbusinesstimes, Mastering Seed Funding."
Jobox,15,6,1,0.409,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Ycombinator, Workflowmarketplace, Pega."
Juro,15,9,5,0.473,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Umatechnology, Icertis, Diraitory."
Kryptomon,15,5,3,0.516,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Asiatechdaily, Solulab, Maticz."
LiefergrŸn,15,7,4,0.5,crowded,"Several strong peers (4 in top-5); space looks competitive — benchmark vs Udaan, Limesupply, Paack."
LoanWell,15,9,5,0.664,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Fundingo, Businesswarrior, Cascading."
Lollipop,15,5,4,0.501,crowded,"Several strong peers (4 in top-5); space looks competitive — benchmark vs Startuprise, Apurple, Keeperofthehome."
Macro,15,6,1,0.355,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Ironsoftware, M365Maps, Mrsharepoint."
Mojo,15,7,5,0.633,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Fantium, Athleteand, Gambling911."
Muck Rack,15,7,1,0.421,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Mediaboard, Cision, Tyccommunication."
Mustard,15,9,5,0.6,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Tgfitness, Ingym, Certifystrong."
Mysten Labs,15,4,0,0.279,unique,"No strong startup peers in top-5 (0 above similarity threshold); idea may be relatively new or niche. Weak matches: Financefeeds, Chainalysis, Cer."
Origin,15,6,5,0.508,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Dragonpass, Ivtrip, Mindtrip."
Osso VR,15,4,3,0.503,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Thewild, Vantarivr, Massdevice."
Ownwell,15,9,0,0.403,unique,"No strong startup peers in top-5 (0 above similarity threshold); idea may be relatively new or niche. Weak matches: Ptmoney, Constructionmanagement, Likelyabusiness."
Palta,15,4,3,0.467,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Precedenceresearch, Techweek, Hg."
Pilgrim Soul,0,5,1,0.411,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Thesecretline, Focl, Startupurban."
PlayPlay,15,9,3,0.479,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Softwaresuggest, Udaan, Onlinesalesguidetip."
Playhouse,15,5,3,0.471,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Megaincomestream, Movetubestudio, Momenzo."
Sable,15,5,1,0.374,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Mercury, Angellist, Consensys."
Scipher Medicine,15,11,3,0.466,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Rna Seqblog, Decodingautoimmunity, Biostate."
Sharpist,15,8,5,0.576,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Coachhub, Theinnovator, Rocketreach."
Tive,15,10,0,0.427,unique,"No strong startup peers in top-5 (0 above similarity threshold); idea may be relatively new or niche. Weak matches: Finditname, Precisionmonitoring, Silentrac."
Tomo,15,8,1,0.419,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Fioney, Wherrelz, Financebuzz."
Vision,15,6,5,0.611,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs In Between The Lines, Shift4Shop, Infobip."
Waterplan,15,7,5,0.619,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Ctvc, Aerolab, Waterindustriesholding."
banxware,15,6,4,0.51,crowded,"Several strong peers (4 in top-5); space looks competitive — benchmark vs Smebanking, Etcentric, Blog."
lottielab,15,7,3,0.489,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Animaker, Vijaytalksai, Udaan."
morty,15,9,5,0.604,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Vctavern, Pylonlending, Propmodo."
multus,15,9,5,0.585,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Gfieurope, Gfi India, Marinexcell."
